Country,Indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
KGZ,EG.ELC.PETR.ZS,1.710743802,1.52394775,1.186708861,0.72086218,0.576447982,0.291634689,,,,,
KGZ,EG.USE.ELEC.KH.PC,1371.721214,1649.258332,1809.102582,1887.020071,1941.221832,,,,,,
KGZ,ER.H2O.FWAG.ZS,,,92.68929504,,,,,92.68929504,,,
KGZ,ER.H2O.FWDM.ZS,,,2.924281984,,,,,2.924281984,,,
KGZ,ER.H2O.FWIN.ZS,,,4.386422977,,,,,4.386422977,,,
KGZ,ER.H2O.FWTL.K3,,,7.707,,,,,7.707,,,
KGZ,ER.H2O.FWTL.ZS,,,15.75107296,,,,,15.75107296,,,
KGZ,ER.H2O.INTR.K3,,,48.93,,,,,48.93,,,
KGZ,ER.H2O.INTR.PC,,,8726.280497,,,,,7894.227356,,,
KGZ,IE.PPI.ENGY.CD,,,,,40000000,,,,,,
KGZ,IE.PPI.ICTI.CD,,,,,,,,,,,
KGZ,IE.PPI.TRAN.CD,,,,,,,,,,,
KGZ,IE.PPI.WATR.CD,,,,,,,,,,,
KGZ,IE.PPN.ENGY.CD,,,,,,,,,,,
KGZ,IE.PPN.TRAN.CD,,,,,,,,,,,
KGZ,IE.PPN.WATR.CD,,,,,,,,,,,
KGZ,IP.IDS.NRCT,559,519,576,797,714,904,460,502,,,
KGZ,IP.IDS.RSCT,13,17,50,14,48,21,17,11,,,
KGZ,IP.TMK.NRCT,,6679,6995,7526,6330,6330,6085,6989,7728,7115,
KGZ,IP.TMK.RSCT,,271,230,326,372,341,269,519,552,494,
KGZ,IQ.SPI.PIL5,,,,,,,85,85,70,85,
KGZ,IS.AIR.DPRT,7371,9274,7719,12189,17388,20962,23120,27055,8751,6537,
KGZ,IS.AIR.GOOD.MT.K1,1.3027,1.486294,0.78235,0.59035,0.237168,0.06929,0.088343,0.02165,1.263266,0.458837,
KGZ,IS.AIR.PSGR,375602,526018.0125,494640.4268,771165,712284,967629,1015750,1122951,1175000.704,874326,
KGZ,IS.RRS.GOOD.MT.K6,737.7,798.3,922.7,1002,1010,918,807,935,949,870.4,
KGZ,IS.RRS.PASG.KM,98.7,82.8,75.8,,,41,40.8,43,35,,
KGZ,IS.RRS.TOTL.KM,417.2,417.2,417.2,417,424,424,424,424,424,,
KGZ,IS.SHP.GCNW.XQ,,,,,,,,,,,
KGZ,IS.SHP.GOOD.TU,,,,,,,,,,,
KGZ,IT.CEL.SETS,5275477,6277108,6797852,6737487,7563444,7579439,7613528,8467966,8735246,8622565,
KGZ,IT.CEL.SETS.P2,97.29236321,113.758549,120.9243102,117.555938,129.4106012,127.1905538,125.3393872,136.8066442,138.5660601,134.3947411,
KGZ,IT.MLT.MAIN,489052,502020,488853,461277,443184,408037,382149,362288,331140,298855,
KGZ,IT.MLT.MAIN.P2,9.019283908,9.097990149,8.69601336,8.048379225,7.582882599,6.847268246,6.291212364,5.853047296,5.252830332,4.658073365,
KGZ,IT.NET.BBND,23053,39040,54614,136200,170706,211521,240873,258013,250612,269091,
KGZ,IT.NET.BBND.P2,0.425152237,0.707512719,0.971506923,2.376422953,2.920781339,3.549533564,3.965424993,4.16840274,3.975425244,4.194159776,
KGZ,IT.NET.SECR,10,8,38,44,82,136,257,639,1075,1859,2771
KGZ,IT.NET.SECR.P6,1.835569669,1.45069452,6.777000999,7.692845654,14.05192357,22.83066696,42.27321326,103.0944468,170.0196116,287.9402745,420.3835184
KGZ,IT.NET.USER.ZS,16.3,17.5,19.8,23,28.3,30.24704278,37,38.19903776,,,
KGZ,LP.LPI.INFR.XQ,2.09,,2.49,,2.045971,,1.96,,2.38,,
KGZ,NY.GDP.MKTP.KD,4794357795,5079922897,5075444934,5629453576,5855984962,6082952718,6346700783,6647530416,6897338635,7214659366,6593004561
KGZ,SL.UEM.TOTL.ZS,8.64,8.53,8.43,8.33,8.05,7.56,7.21,6.89,6.79,6.72,7.89
KGZ,SP.POP.TOTL,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6591600
KGZ,TM.VAL.ICTG.ZS.UN,2.710947973,3.82216916,2.343275262,2.214600984,2.037129014,2.799089538,3.130007198,3.655667962,3.851815148,5.331285796,
KGZ,TX.VAL.ICTG.ZS.UN,0.563101663,0.238271609,0.078879333,0.055729993,0.056549192,0.069321085,0.371673953,0.146529914,0.139359784,0.175329754,
